112 32
-0.02821 0.04348 -0.19054
0.0008440465 -0.004397966 0
0.001672013 -0.004114799 0
0.002518797 -0.003825199 0
0.003457312 -0.003504228 0
0.003993748 -0.002707638 1.490116E-08
0.004353337 -0.001837675 0
0.004711861 -0.0009702966 0
0.004514964 -3.042072E-05 0
0.004171235 0.0008005276 0
0.003854495 0.001566242 0
0.00342099 0.002252646 0
0.00262752 0.002592355 0
0.001953254 0.002881035 1.490116E-08
0.001328988 0.003148306 1.490116E-08
0.0007034671 0.003416114 1.490116E-08
2.463907E-05 0.003656905 0
-0.0006747544 0.003515854 1.490116E-08
-0.001371533 0.003375329 0
-0.002122808 0.003223807 0
-0.003005099 0.003045868 -1.490116E-08
-0.003886778 0.002635114 0
-0.004236851 0.001788501 0
-0.004585899 0.0009443574 0
-0.00496256 3.343448E-05 1.490116E-08
-0.004716899 -0.0009052604 -1.490116E-08
-0.004251108 -0.00172741 0
-0.003808491 -0.002507806 0
-0.003334209 -0.003289588 0
-0.002475828 -0.003651828 -1.490116E-08
-0.001643067 -0.00389234 0
-0.000848772 -0.004121743 0
-2.93646E-05 -0.0043584 0
-0.02821 0.04348 -0.18054
-0.0008166209 -0.004952844 0.0006923825
0.0001832079 -0.005266495 0.0007653683
0.001190094 -0.005010311 0.0007562637
0.002141895 -0.00465104 0.0007307678
0.003106166 -0.004264239 0.0007016659
0.004108232 -0.003780678 0.0006596148
0.004527073 -0.002758984 0.0005237162
0.004910976 -0.001801416 0.0003961325
0.005288586 -0.0008346513 0.0002670139
0.005048417 0.0001919195 0.000112161
0.004626345 0.001094386 -2.981722E-05
0.004262218 0.001937449 -0.000161618
0.003907252 0.002797484 -0.0002955943
0.003092676 0.00329265 -0.0003896654
0.002270611 0.003637969 -0.0004622638
0.001496529 0.003963128 -0.0005306602
0.0007086061 0.004297737 -0.0006007999
-0.0001624003 0.00466834 -0.000678435
-0.001069967 0.004504591 -0.00067994
-0.001970604 0.004279099 -0.0006723404
-0.002940163 0.004036352 -0.0006641597
-0.004071988 0.003747322 -0.0006537884
-0.005110681 0.003114656 -0.0005912483
-0.005497485 0.002016552 -0.0004434288
